trt,trt_mean,std,r,se,Min,Max,Q25,Q50,Q75,FQS_mean,stat_grp,practice_subset,practice,production_type,product_name,FQS,max_value,product_FQS,stat_grp_conv,conv_mean,stat_grp_conv_diff,mean_conv_diff,pval_tukey
Comte - Morbier,6550.28023197214,987.841300216152,64,208.20131696228,4000.21203718806,9012.03384261541,5978.96324527601,6559.87875934486,7224.79226345911,6550.28023197214,ab,herd,yield_l_panim,milk,Lait,Comte - Morbier,14315.44,Lait - Comte - Morbier,a,7069.57275987736,FALSE,-7.34545842504669,0.1958
Conventionnel,7069.57275987736,1729.0388966776,882,56.0840240289517,393.599137931034,14315.44,5995.2645945946,7264.12952998824,8327.77618966108,7069.57275987736,a,herd,yield_l_panim,milk,Lait,Conventionnel,14315.44,Lait - Conventionnel,a,7069.57275987736,FALSE,0,NA
Fromages de Savoie,6326.31397517796,1733.28885111566,33,289.945577789464,1786.5046728972,9708.10687022901,5327.61142857143,6597.86813186813,7118.68027210884,6326.31397517796,ab,herd,yield_l_panim,milk,Lait,Fromages de Savoie,14315.44,Lait - Fromages de Savoie,a,7069.57275987736,FALSE,-10.5134894277869,0.1541
Munster,6976.73385969384,1602.21895691055,38,270.197708151339,1838.99408284024,9789.84615384615,6158.39369003432,6832.85714285714,8232.72985789787,6976.73385969384,ab,herd,yield_l_panim,milk,Lait,Munster,14315.44,Lait - Munster,a,7069.57275987736,FALSE,-1.31321797422361,0.9999
AB,2457.68763118688,1119.66358841931,88,120.785301629055,302.824976956351,5922.59649831979,1698.62263310372,2182.938590444,3117.96199762214,2457.68763118688,c,herd,yield_l_pha,milk,Lait,AB,11106.9787597792,Lait - AB,a,3613.69899192844,TRUE,-31.98969707559,0
Beurre de Charentes-Poitou,3477.93978427602,934.427545733816,59,147.512702118209,1229.54293230362,5681.13566957212,2853.85872822661,3634.77343707462,4086.84072265756,3477.93978427602,ab,herd,yield_l_pha,milk,Lait,Beurre de Charentes-Poitou,11106.9787597792,Lait - Beurre de Charentes-Poitou,a,3613.69899192844,FALSE,-3.75679346718265,0.9739
Bleu d'Auvergne - Cantal,2809.27509071888,883.951977275953,54,154.190829330911,1188.61759481617,5382.6496773916,2220.57814143057,2682.61605939614,3382.05617118089,2809.27509071888,c,herd,yield_l_pha,milk,Lait,Bleu d'Auvergne - Cantal,11106.9787597792,Lait - Bleu d'Auvergne - Cantal,a,3613.69899192844,TRUE,-22.2604014060474,0
Comte - Morbier,2469.54114835687,478.726596529261,64,141.633320578987,1292.38980415873,3446.09675400381,2205.26002816698,2450.82559055914,2759.45717004785,2469.54114835687,c,herd,yield_l_pha,milk,Lait,Comte - Morbier,11106.9787597792,Lait - Comte - Morbier,a,3613.69899192844,TRUE,-31.6616809016788,0
Conventionnel,3613.69899192844,1211.00017434238,882,38.1523357803313,315.041113541199,11106.9787597792,2836.05983790197,3540.63008545984,4204.31437481404,3613.69899192844,a,herd,yield_l_pha,milk,Lait,Conventionnel,11106.9787597792,Lait - Conventionnel,a,3613.69899192844,FALSE,0,NA
Fromages de Savoie,2597.92094617946,734.918124231557,33,197.241571612895,967.261594147553,4362.1461960915,2264.90543557799,2559.63580171478,2927.94968258008,2597.92094617946,c,herd,yield_l_pha,milk,Lait,Fromages de Savoie,11106.9787597792,Lait - Fromages de Savoie,a,3613.69899192844,TRUE,-28.1090939787133,0
Munster,2993.74380964668,898.649720180055,38,183.807668350337,542.226455347439,5056.53484837573,2488.6012340195,3106.31032933028,3371.46909122566,2993.74380964668,bc,herd,yield_l_pha,milk,Lait,Munster,11106.9787597792,Lait - Munster,a,3613.69899192844,TRUE,-17.1556951385959,0.0171
AB,83.3586644622606,40.0233445017878,88,2.8472106432043,27.806248976139,210.901309181069,55.1596169351132,71.0694995952571,102.208297396001,83.3586644622606,a,feed,feed_A.2.1,milk,Lait,AB,219.115611994887,Lait - AB,b,64.9498796238554,TRUE,28.3430622889773,0
