production_type,product_name,FQS,match,mean,sd,min,max,q25,q50,q75,practice,n_matched,mean_diff_match,pval_pttest,padjust_bonf
crop,Orge_de_printemps,Conventionnel,Orge_de_printemps__AB,166.478700764598,85.9351946879001,15.6847783567464,607.57510372394,114.261985685081,155.190307231857,204.796513635241,A.4.5,93,-90.3566909254294,2.53633061339739e-10,1.36454587000779e-07
crop,Tournesol,AB,Tournesol__AB,74.8109128339334,65.2051229822619,4.44073552991154,180.427876998355,28.0180738677581,29.3445067998227,124.813271847719,A.4.5,30,-7.71090211084838,0.678609565331115,1
crop,Tournesol,Conventionnel,Tournesol__AB,82.5218149447818,123.358079955842,18.1174537625458,1194.47772552954,54.8194962261053,64.0153054118575,77.4663707198044,A.4.5,90,-7.71090211084838,0.678609565331115,1
crop,Triticale,AB,Triticale__AB,115.338010929005,41.4715198912693,45.5863840387558,141.960148769206,68.5097679580265,141.960148769206,141.960148769206,A.4.5,43,-106.751775064027,3.19146996072699e-15,1.71701083887112e-12
crop,Triticale,Conventionnel,Triticale__AB,222.893398945617,63.919517260705,98.0964781163748,468.678173987399,181.779689744875,215.703872483955,257.629983620489,A.4.5,122,-106.751775064027,3.19146996072699e-15,1.71701083887112e-12
crop,Autres_cereales,AB,Autres_cereales__AB,2.61216712846345,8.78806125240483,0,52.3093075643589,0,0,0.2789935282276,A.5.1,41,-76.1677239217054,1.98054631746074e-11,1.06553391879388e-08
crop,Autres_cereales,Conventionnel,Autres_cereales__AB,69.3851542489565,55.0471360269031,0,229.013063998838,22.365171912806,58.1692292377331,105.55405101579,A.5.1,103,-76.1677239217054,1.98054631746074e-11,1.06553391879388e-08
crop,Ble_tendre,AB,Ble_tendre__AB,6.15404450313899,14.800081797901,0,72.0979164674928,0,0,3.21074983333059,A.5.1,93,-130.482957506067,1.4705872813817e-46,7.91175957383357e-44
crop,Ble_tendre,Conventionnel,Ble_tendre__AB,136.637002009206,65.7063095210223,0,360.930200106251,94.249444142979,143.044233464838,174.939070331128,A.5.1,279,-130.482957506067,1.4705872813817e-46,7.91175957383357e-44
crop,Ble_tendre,Conventionnel,Ble_tendre__LR,141.714729092117,72.99633699851,0,360.930200106251,90.1767022744529,142.897266226748,187.037051928839,A.5.1,300,13.6700480715828,0.0688997669366026,1
crop,Ble_tendre,LR,Ble_tendre__LR,155.384777163699,69.3528480580687,44.2171543938528,354.784885981415,98.5243868704164,155.708738949699,202.048691019828,A.5.1,100,13.6700480715828,0.0688997669366026,1
crop,Mais_fourrage,AB,Mais_fourrage__AB,0.262251690319778,0.793856984436215,0,3.69985277438452,0,0,0,A.5.1,44,-51.4110747270362,1.17817864500673e-15,6.33860111013623e-13
crop,Mais_fourrage,Conventionnel,Mais_fourrage__AB,51.6733264173559,38.0252610429434,0,254.218181818182,23.4235069814232,45.0643413954904,69.6157367349583,A.5.1,132,-51.4110747270362,1.17817864500673e-15,6.33860111013623e-13
crop,Mais_grain,AB,Mais_grain__AB,3.17116495105369,7.68311770734407,0,34.0618746930709,0,0,1.71586345356603,A.5.1,37,-73.7699515635161,3.01312899379627e-22,1.62106339866239e-19
crop,Mais_grain,Conventionnel,Mais_grain__AB,76.9411165145698,36.875338648516,0,171.467656141752,50.2181229401203,79.2962682410669,104.484681984511,A.5.1,111,-73.7699515635161,3.01312899379627e-22,1.62106339866239e-19
crop,Melange_cereales_d_ete,AB,Melange_cereales_d_ete__AB,0.778597803003443,2.05515589704721,0,11.3433724408451,0,0,0.138548003103617,A.5.1,48,-51.3774048278644,1.54167842110543e-11,8.29422990554724e-09
crop,Melange_cereales_d_ete,Conventionnel,Melange_cereales_d_ete__AB,43.6697613869603,42.8539251668432,0,209.446347031963,13.0807115851168,30.466877482801,63.4981223552799,A.5.1,90,-51.3774048278644,1.54167842110543e-11,8.29422990554724e-09
crop,Orge_d_hiver_et_escourgeon,AB,Orge_d_hiver_et_escourgeon__AB,5.8455011353611,13.4384769098157,0,53.5258030891115,0,0,1.99957999533587,A.5.1,37,-102.916240501492,1.36303787122393e-15,7.33314374718475e-13
crop,Orge_d_hiver_et_escourgeon,Conventionnel,Orge_d_hiver_et_escourgeon__AB,108.761741636853,68.5263994659195,0,441.543472813831,65.2937475287481,101.57972557029,147.763200007015,A.5.1,111,-102.916240501492,1.36303787122393e-15,7.33314374718475e-13
crop,Orge_de_printemps,AB,Orge_de_printemps__AB,2.27556994689973,5.74035951624453,0,27.6039977332967,0,0,0.915923933528475,A.5.1,31,-113.019514373309,8.35356423081764e-15,4.49421755617989e-12
crop,Orge_de_printemps,Conventionnel,Orge_de_printemps__AB,115.295084320208,60.3513888209658,0,370.564136091425,81.059871769167,117.321914161428,146.284139981296,A.5.1,93,-113.019514373309,8.35356423081764e-15,4.49421755617989e-12
crop,Tournesol,AB,Tournesol__AB,2.48129172615378,5.64843709185273,0,22.6820281781875,0,0.120191781494846,2.34461924843685,A.5.1,30,-88.5255340001863,6.44842045263292e-20,3.46925020351651e-17
crop,Tournesol,Conventionnel,Tournesol__AB,91.0068257263401,40.1349846799705,19.0367493004206,193.510803558819,65.3543287515509,85.616211475224,116.286973369509,A.5.1,90,-88.5255340001863,6.44842045263292e-20,3.46925020351651e-17
crop,Triticale,AB,Triticale__AB,2.58016217136789,8.24194327460034,0,52.3093075643589,0,0,2.0501144386936,A.5.1,43,-78.4274331639153,8.29876058258065e-15,4.46473319342839e-12
crop,Triticale,Conventionnel,Triticale__AB,76.1582965678151,58.886707661918,0,247.586729594868,29.1988096878577,61.6174789926162,119.977648617662,A.5.1,122,-78.4274331639153,8.29876058258065e-15,4.46473319342839e-12
crop,Autres_cereales,AB,Autres_cereales__AB,2658.42495690175,1218.0689927647,249.074074074074,6000,2085.21303258145,2550,3500,yield,41,-571.391365785753,0.0631784859190775,1
crop,Autres_cereales,Conventionnel,Autres_cereales__AB,3340.9951810317,1977.27264616364,264.31718061674,8076.38888888889,1966.82626538988,3000,4996.12403100775,yield,103,-571.391365785753,0.0631784859190775,1
crop,Ble_tendre,AB,Ble_tendre__AB,3335.28056117812,1735.29663709216,843.170320404722,8935.96905887409,2168.86883660973,2968.82494004796,3926.70157068063,yield,93,-3126.89337198003,8.35872797875053e-24,4.49699565256779e-21
crop,Ble_tendre,Conventionnel,Ble_tendre__AB,6462.17393315815,2172.13757442921,1503.75939849624,12389.8305084746,4980.87491233956,6316.02578862537,8116.97684513732,yield,279,-3126.89337198003,8.35872797875053e-24,4.49699565256779e-21
crop,Ble_tendre,Conventionnel,Ble_tendre__LR,5960.89776282875,2025.75392206003,660,11324.4615654001,4501.00660747471,5910.32358209096,7304.28817941909,yield,300,291.876461990835,0.109856358798757,1
crop,Ble_tendre,LR,Ble_tendre__LR,6252.77422481958,1975.81200724296,2780.20176544767,10799.85813926,4626.81592014852,6125.74315499251,7631.39860048051,yield,100,291.876461990835,0.109856358798757,1
crop,Mais_fourrage,AB,Mais_fourrage__AB,10315.3194496653,0,10315.3194496653,10315.3194496653,10315.3194496653,10315.3194496653,10315.3194496653,yield,44,0,NA,NA
crop,Mais_fourrage,Conventionnel,Mais_fourrage__AB,10315.3194496653,0,10315.3194496653,10315.3194496653,10315.3194496653,10315.3194496653,10315.3194496653,yield,132,0,NA,NA
crop,Mais_grain,AB,Mais_grain__AB,4676.38257724976,2371.84058523646,1481.67539267016,9693.84662018793,2666.66666666667,4263.86233269598,6368.11940587353,yield,37,-2661.90544882602,9.24365714079542e-07,0.000497308754174794
crop,Mais_grain,Conventionnel,Mais_grain__AB,7338.28802607578,2978.69229561368,685.95041322314,13262.3276337562,5035.33584895152,7267.44186046512,9746.43736627508,yield,111,-2661.90544882602,9.24365714079542e-07,0.000497308754174794
crop,Melange_cereales_d_ete,AB,Melange_cereales_d_ete__AB,3140.33789260687,1258.42017415678,969.094247246022,5322.58064516129,2044.79917610711,2981.52897687,4355.11892938183,yield,48,-1051.38237806479,5.0567213378403e-05,0.0272051607975808
crop,Melange_cereales_d_ete,Conventionnel,Melange_cereales_d_ete__AB,4135.95953786593,1213.72360952916,1011.56069364162,7000,3274.37490004039,4000,4997.03047449227,yield,90,-1051.38237806479,5.0567213378403e-05,0.0272051607975808
crop,Orge_d_hiver_et_escourgeon,AB,Orge_d_hiver_et_escourgeon__AB,3456.51893267135,1311.07419506161,1007.38916256158,7804.66472303207,2672.60579064588,3258.06451612903,4390.24390243903,yield,37,-1622.11029353306,5.20077753617685e-06,0.00279801831446314
crop,Orge_d_hiver_et_escourgeon,Conventionnel,Orge_d_hiver_et_escourgeon__AB,5078.62922620441,2058.21098256831,341.296928327645,9821.42857142857,3713.55397951143,4672.89719626168,6662.97935103245,yield,111,-1622.11029353306,5.20077753617685e-06,0.00279801831446314
crop,Orge_de_printemps,AB,Orge_de_printemps__AB,2794.3404806477,1516.73656242344,639.880952380952,8047.85020804438,1848.54719920005,2700,3659.42028985507,yield,31,-2011.46594568647,4.99478921171234e-07,0.000268719659590124
crop,Orge_de_printemps,Conventionnel,Orge_de_printemps__AB,4805.80642633417,1643.29713338755,623.811335108406,8486.36129696346,3583.33333333333,4739.87654320988,6000,yield,93,-2011.46594568647,4.99478921171234e-07,0.000268719659590124
crop,Tournesol,AB,Tournesol__AB,1414.23983179114,706.952713679115,63.5197066911091,3141.50943396226,1090.81539595488,1484.64596164766,1734.13166895624,yield,30,-569.156212636393,0.000947176000130742,0.509580688070339
crop,Tournesol,Conventionnel,Tournesol__AB,1983.39604442753,711.398996979551,317.073170731707,3680.35190615836,1481.9493255328,1893.93116174321,2449.66548602912,yield,90,-569.156212636393,0.000947176000130742,0.509580688070339
crop,Triticale,AB,Triticale__AB,3469.15535622742,1473.4071775975,1028.57142857143,6367.73829667231,2401.20274914089,3200.64377682403,4766.60413693388,yield,43,-1486.58210161989,2.17353646355594e-07,0.00011693626173931
