production_type,product_name,FQS,n,BVI_ha,BVI_kg,statistique,A.3.1_max,A.4.5_max,A.4.5_min_max,A.4.5_org_max,A.5.1_max,yield,cow_pMFA,feed_autonomy,grassland_share_pseudofarm,ha_temp_pasture_pha_pseudofarm,kg_DM_panim_maize_produced,MFA_pcow,MFA_pha_pseudofarm,nb_cow_pha,share_concent,share_soybean,yield_l_panim,yield_l_pha,feed_A.3.1_max,feed_A.4.5_max,feed_A.4.5_min_max,feed_A.4.5_org_max,feed_A.5.1_max,feed_yield
crop,Autres cereales,AB,40,0.224358442409452,0.00041566997092287,max,216.984643179765,759.640919231174,0,783.536932574232,52.3093075643589,6058.55855855856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.111164932559763,4.14701554970735e-05,mean,51.2426381300676,205.797412064678,0,206.97746210631,6.51471488906772,3361.25446907165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.0448074705730281,2.53069551177567e-05,sd,59.8282309015976,194.580035947301,0,198.020192457947,15.1842150213008,1792.47856841044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.0577263670307231,8.27734115621008e-06,q0,0,49.2756231178666,0,49.2756231178666,0,843.170320404722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.0830887025550822,2.70458764906959e-05,q25,9.39886187273668,49.2756231178666,0,49.2756231178666,0,2090.59233449477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.094118588941573,3.42457695032521e-05,q50,31.5925453966231,166.528175225284,0,166.528175225284,0,2964.70588235294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.125545601924287,4.94371858255019e-05,q75,67.8385329840438,259.437544111363,0,259.437544111363,3.77022796854946,3898.82854100106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.289761085752458,0.00013098915776484,q100,246.166070798635,759.640919231174,0,783.536932574232,72.0979164674928,8935.96905887409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Ble tendre,AB,81,0.289761085752458,0.00013098915776484,max,246.166070798635,759.640919231174,0,783.536932574232,72.0979164674928,8935.96905887409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Mais grain,AB,33,0.138821645595085,3.65947758137932e-05,mean,59.8025606347381,425.518378676904,0,432.03547322501,3.37213626719884,4636.54015507015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
