production_type,product_name,FQS,match,n,BVI_ha,BVI_kg,statistique,A.3.1_max,A.4.5_max,A.4.5_min_max,A.4.5_org_max,A.5.1_max,yield,cow_pMFA,feed_autonomy,grassland_share_pseudofarm,ha_temp_pasture_pha_pseudofarm,kg_DM_panim_maize_produced,MFA_pcow,MFA_pha_pseudofarm,nb_cow_pha,share_concent,share_soybean,yield_l_panim,yield_l_pha,feed_A.3.1_max,feed_A.4.5_max,feed_A.4.5_min_max,feed_A.4.5_org_max,feed_A.5.1_max,feed_yield
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.254937288798112,4.61967984473274e-05,q75,75.7763460809838,273.004520519361,222.442588847351,40.6630320859012,189.689844009574,7276.46931899285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.488067072228924,0.00101367776539853,q100,246.166070798635,759.640919231174,269.352906450692,783.536932574232,360.930200106251,11324.4615654001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,Conventionnel,Blé tendre__LR,291,0.488067072228924,0.00101367776539853,max,246.166070798635,759.640919231174,269.352906450692,783.536932574232,360.930200106251,11324.4615654001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.230290356790979,3.95298885622205e-05,mean,61.8622197943781,234.405882262953,192.67405407255,32.8885419387565,156.580257948336,6323.5071025331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.0637013622421839,1.63617730216571e-05,sd,49.0789441422445,79.7296647733931,54.6004515952155,47.2274658826071,67.9310548046815,1963.08193705008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.140504777016804,1.55435345581489e-05,q0,0,58.7097564933619,48.1254904372457,8.56015874767486,48.5366437880571,2780.20176544767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.180248601034483,2.90993698652866e-05,q25,27.8029529783007,189.739557468442,161.068138332789,10.5842660561162,99.6386440499076,4740.66505022515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.210286037275087,3.68103900087837e-05,q50,51.1505016722408,221.198631479502,195.181318367095,10.5842660561162,156.193257794356,6159.38141076219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.270456165879153,4.67447411442378e-05,q75,88.1435594886922,261.429547357402,228.678579696774,34.6614983145802,201.518499588354,7745.93338497289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.384432880009243,0.00013310956497171,q100,237.154904126092,493.926380577101,269.352906450692,297.484737112097,354.784885981415,10799.85813926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Blé tendre,LR,Blé tendre__LR,97,0.384432880009243,0.00013310956497171,max,237.154904126092,493.926380577101,269.352906450692,297.484737112097,354.784885981415,10799.85813926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
crop,Maïs grain,AB,Maïs grain__AB,33,0.138821645595085,3.65947758137932e-05,mean,59.8025606347381,425.518378676904,0,432.03547322501,3.37213626719884,4636.54015507015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
