farm_id,org_farming,crop,area_ha
3120000007813,FALSE,CSOYA,4.42
3120000007817,FALSE,CWHTC,25.16
3120000007817,FALSE,CBRL,5.48
3120000007817,FALSE,CRAPE,19.43
3120000007819,FALSE,CWHTC,9.64
3120000007819,FALSE,CBRL,8.1
3120000007829,FALSE,CWHTC,33.37
3120000007829,FALSE,CBRL,7.7
3120000007829,FALSE,CMZ,24.42
3120000007829,FALSE,CRAPE,15.01
3120000007829,FALSE,CSOYA,7.57
3120000007831,FALSE,CWHTC,21.86
3120000007831,FALSE,CBRL,12.28
3120000007831,FALSE,CMZ,11.01
3120000007831,FALSE,CRAPE,11.62
3120000007831,FALSE,CSOYA,18.55
3120000007831,FALSE,CLINSED,3.9
3120000007834,FALSE,CBRL,10.23
3120000007834,FALSE,CPOT,3
3120000007834,FALSE,CPOTOTH,3
3120000007839,FALSE,CWHTC,123.02
3120000007839,FALSE,CMZ,6.18
3120000007839,FALSE,CRAPE,58.17
3120000007839,FALSE,CSOYA,60.08
3120000007841,FALSE,CWHTC,10.31
3120000007841,FALSE,CBRL,9.25
3120000007841,FALSE,CMZ,5.76
3120000007844,FALSE,CWHTC,70.71
3120000007844,FALSE,CBRL,16.58
3120000007844,FALSE,CMZ,99.6
3120000007844,FALSE,CRAPE,61.9
3120000007844,FALSE,CSOYA,17.1
3120000007851,FALSE,CRYE,1.6
3120000007851,FALSE,CCEROTH,3
3120000007852,TRUE,CWINEPDO,10.25
3120000007858,TRUE,CWINEPDO,12.74
3120000007863,FALSE,CWHTC,85.04
3120000007863,FALSE,CBRL,65.72
3120000007863,FALSE,CRAPE,75.08
3120000007864,FALSE,CWHTC,14.8
3120000007864,FALSE,CBRL,11.61
3120000007864,FALSE,CSOYA,7.12
3120000007866,FALSE,CWHTC,17.79
3120000007866,FALSE,CBRL,9.02
3120000007866,FALSE,CRAPE,9.05
3120000007869,FALSE,CWHTC,10.68
3120000007885,FALSE,CWHTC,9.08
3120000007885,FALSE,CBRL,6.61
3120000007885,FALSE,CRAPE,7.57
3120000007886,FALSE,CWHTC,1.6
3120000007886,FALSE,CBRL,3.1
3120000007889,FALSE,CWHTC,46
3120000007889,FALSE,CBRL,29
3120000007889,FALSE,CRAPE,18
3120000007890,TRUE,CBRL,2
3120000007890,TRUE,CMZ,3
3120000007890,TRUE,CCEROTH,8
3120000007893,FALSE,CWHTC,7.42
3120000007893,FALSE,CBRL,11.62
3120000007893,FALSE,COAT,2.49
3120000007893,FALSE,CRAPE,8.44
3120000007897,FALSE,CWHTC,47.91
3120000007897,FALSE,CBRL,17.91
3120000007897,FALSE,CRAPE,26.33
3120000007897,FALSE,CSOYA,7.48
3120000007897,FALSE,CHEMP,9.75
312000000957,FALSE,CWHTC,18.21
312000000957,FALSE,CMZ,17
312000000957,FALSE,CSOYA,20.07
31300000023171,TRUE,COAT,1.97
31300000023171,TRUE,CPEA,19.51
3130000003093,FALSE,CWHTC,79.33
3130000003093,FALSE,CBRL,63.35
3130000003093,FALSE,COAT,12
3130000003093,FALSE,CCEROTH,77.13
3130000003093,FALSE,CRAPE,112.85
3130000003103,FALSE,CWHTC,98.01
3130000003103,FALSE,CBRL,52.27
3130000003103,FALSE,CMZ,16.73
3130000003103,FALSE,CPEA,19.53
3130000003103,FALSE,CRAPE,60.84
3130000003105,FALSE,CWHTC,36.52
3130000003105,FALSE,CBRL,14.24
3130000003105,FALSE,CMZ,35.41
3130000003105,FALSE,CRAPE,40.51
3130000003110,TRUE,CRYE,1.73
3130000003110,TRUE,CBRL,5.62
3130000003110,TRUE,CCEROTH,4.92
3130000003118,FALSE,CWHTC,89.74
3130000003118,FALSE,CBRL,72.81
3130000003118,FALSE,CPEA,17.84
3130000003118,FALSE,CRAPE,78.39
3130000003118,FALSE,CSOYA,1.76
3130000003119,FALSE,CWHTC,20.16
3130000003119,FALSE,CCEROTH,4.26
3130000003121,FALSE,CWHTC,69.5
3130000003121,FALSE,CBRL,40.08
3130000003121,FALSE,CCEROTH,9.9
3130000003121,FALSE,CPEA,5.28
3130000003121,FALSE,CRAPE,43.91
3130000003121,FALSE,CSOYA,0.7
3130000003122,FALSE,CWHTC,94.5
3130000003122,FALSE,CBRL,77.7
3130000003122,FALSE,CRAPE,79.4
3130000003124,FALSE,CWHTC,61.92
3130000003124,FALSE,CBRL,22.97
3130000003124,FALSE,CMZ,21.95
3130000003124,FALSE,CPEA,12.53
3130000003124,FALSE,CRAPE,36
3130000003124,FALSE,CSNFL,30.94
3130000003125,FALSE,CWHTC,40.14
3130000003125,FALSE,CBRL,20.15
3130000003125,FALSE,CMZ,14.73
3130000003125,FALSE,CRAPE,17.83
3130000003139,FALSE,CWHTC,22.87
3130000003139,FALSE,CBRL,8.08
3130000003139,FALSE,COAT,0.82
3130000003139,FALSE,CRAPE,9.96
3130000003144,FALSE,CWHTC,24.53
3130000003144,FALSE,CBRL,20.34
3130000003146,FALSE,CWHTC,68.34
3130000003146,FALSE,CBRL,49.79
3130000003146,FALSE,CPEA,4.25
3130000003146,FALSE,CRAPE,24.34
3130000003147,FALSE,CWHTC,18.96
3130000003147,FALSE,CBRL,2.64
3130000003147,FALSE,CCEROTH,3.07
3130000003149,FALSE,CWHTC,26.4
3130000003149,FALSE,CBRL,39.04
3130000003149,FALSE,CPEA,8.18
3130000003149,FALSE,CRAPE,23.56
3130000003154,FALSE,CWHTC,18.64
3130000003154,FALSE,CBRL,9.35
3130000003158,FALSE,CWHTC,44.43
3130000003158,FALSE,CBRL,16.78
3130000003158,FALSE,CRAPE,25.61
3130000003158,FALSE,CFRUTTMP,2.18
3130000003161,FALSE,CWHTC,36.42
3130000003161,FALSE,CBRL,42.32
3130000003161,FALSE,COAT,1.19
3130000003161,FALSE,CRAPE,22.87
3130000003162,FALSE,CWHTC,77.38
3130000003162,FALSE,CBRL,36.57
3130000003162,FALSE,COAT,1.94
3130000003162,FALSE,CRAPE,30.23
3130000003168,FALSE,CWHTC,16.81
3130000003168,FALSE,CBRL,6.62
3130000003168,FALSE,CCEROTH,6.73
3130000003169,FALSE,CWHTC,41.42
3130000003169,FALSE,CBRL,20.26
3130000003169,FALSE,CRAPE,20
3130000003171,TRUE,CWHTC,4
3130000003171,TRUE,COAT,6.82
3130000003172,FALSE,CWHTC,62.56
3130000003172,FALSE,CBRL,20.27
3130000003172,FALSE,CRAPE,22.01
3130000003182,FALSE,CWHTC,11.81
3130000003182,FALSE,CBRL,20.96
3130000003182,FALSE,CCEROTH,16.1
3130000003197,FALSE,CWHTC,60.08
3130000003197,FALSE,CBRL,51.39
3130000003197,FALSE,CRAPE,36.81
3130000003200,FALSE,CWHTC,42.12
3130000003200,FALSE,CBRL,41.11
3130000003200,FALSE,CRAPE,40.37
3130000003205,FALSE,CWHTC,15.2
3130000003205,FALSE,CBRL,3.38
3130000003219,FALSE,CWHTC,51.54
3130000003219,FALSE,CBRL,36.03
3130000003219,FALSE,CCEROTH,9.95
3130000003219,FALSE,CRAPE,56.47
3130000003222,FALSE,CWHTC,43.35
3130000003222,FALSE,CBRL,35.74
3130000003222,FALSE,CMZ,11.3
3130000003222,FALSE,CPEA,21.46
3130000003222,FALSE,CRAPE,43.25
3130000003230,FALSE,CWHTC,22.62
3130000003230,FALSE,CBRL,19.99
3130000003250,FALSE,CWHTC,9.25
3130000003250,FALSE,CBRL,10.02
3130000003262,FALSE,CWHTC,89.24
3130000003262,FALSE,CBRL,108.28
3130000003262,FALSE,CMZ,30.25
3130000003262,FALSE,CPEA,18.72
3130000003262,FALSE,CRAPE,96.07
3130000003262,FALSE,CLINSED,12.41
3130000003263,FALSE,CWHTC,62.05
3130000003263,FALSE,CBRL,54.02
3130000003263,FALSE,CPEA,11.25
3130000003263,FALSE,CRAPE,29.75
3130000003268,FALSE,CWHTC,22.71
3130000003268,FALSE,CBRL,11.35
3130000003268,FALSE,CCEROTH,20.56
3130000003270,FALSE,CWHTC,24.55
3130000003270,FALSE,CBRL,13.66
3130000003270,FALSE,CRAPE,7.19
3130000003310,FALSE,CWHTC,38.03
3130000003310,FALSE,CBRL,23.04
3130000003310,FALSE,COAT,0.4
3130000003310,FALSE,CPEA,1
3130000003310,FALSE,CRAPE,46.14
3130000003389,FALSE,CWHTC,42.08
3130000003389,FALSE,CBRL,11.6
3130000003389,FALSE,COAT,1.68
3130000003389,FALSE,CPEA,4.2
3130000003389,FALSE,CRAPE,34.87
3130000003400,FALSE,CWHTC,20.73
3130000003400,FALSE,CBRL,16.98
3130000003400,FALSE,CRAPE,20.84
3130000003401,FALSE,CWHTC,40.69
3130000003401,FALSE,CBRL,43.99
3130000003401,FALSE,CRAPE,38.71
3130000003401,FALSE,CFLAX,7.11
3130000003406,FALSE,CWHTC,13.23
3130000003406,FALSE,CRYE,1.59
3130000003406,FALSE,CCEROTH,5.94
3130000003409,FALSE,CWHTC,37.32
3130000003409,FALSE,CBRL,12.04
3130000003409,FALSE,CCEROTH,30.14
3130000003417,FALSE,CPEA,7.63
3130000003420,FALSE,CWHTC,16.31
3130000003420,FALSE,CBRL,5.07
3130000003420,FALSE,CRAPE,3.39
3130000003423,FALSE,CWHTC,62.7
3130000003423,FALSE,CBRL,23.73
3130000003423,FALSE,CCEROTH,21.61
3130000003423,FALSE,CPEA,41.37
3130000003423,FALSE,CRAPE,35.05
3130000003424,FALSE,CWHTC,5.47
3130000003426,FALSE,CWHTC,89.16
3130000003426,FALSE,CBRL,131.83
3130000003426,FALSE,CPEA,22.59
3130000003426,FALSE,CRAPE,111.89
3130000003429,FALSE,CWHTC,27.42
3130000003429,FALSE,CBRL,38.97
3130000003429,FALSE,COAT,1
3130000003429,FALSE,CMZ,24.32
3130000003429,FALSE,CRAPE,40
3130000003429,FALSE,CSNFL,16.67
3130000003431,FALSE,CWHTC,8.29
3130000003431,FALSE,CBRL,3.31
3130000003431,FALSE,COAT,1.77
3130000003431,FALSE,CPEA,2.03
3130000003432,FALSE,CWHTC,1.97
3130000003434,FALSE,CWHTC,12.5
3130000003434,FALSE,CBRL,3.52
3130000003438,FALSE,CWHTC,14.48
3130000003439,FALSE,CWHTC,53.11
3130000003439,FALSE,CBRL,40.89
3130000003439,FALSE,COAT,0.97
3130000003439,FALSE,CRAPE,34.43
3130000003439,FALSE,CSNFL,9.33
3130000003441,FALSE,CWHTC,37
3130000003441,FALSE,CBRL,21.2
3130000003441,FALSE,CMZ,6
3130000003441,FALSE,CRAPE,15.62
3130000003446,FALSE,CWHTC,34.06
3130000003446,FALSE,CBRL,20.21
3130000003446,FALSE,CRAPE,31.12
3130000003450,TRUE,CWHTC,13.01
3130000003450,TRUE,CBRL,9.44
3130000003450,TRUE,CCEROTH,17.69
3130000003453,FALSE,CWHTC,76.31
3130000003453,FALSE,CBRL,48.41
3130000003453,FALSE,CRAPE,69.73
3130000003453,FALSE,CSNFL,16.1
3130000003454,FALSE,CWHTC,13.32
3130000003454,FALSE,CBRL,15.77
3130000003454,FALSE,CRAPE,16.01
